age,job,marital,education,default,balance,housing,loan,y
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,no,yes,yes
Young,White-Collar,married,secondary,no,*,yes,no,no
Adult,Not-Working,married,secondary,no,*,no,no,no
Adult,Blue-Collar,divorced,secondary,no,*,no,yes,no
Adult,White-Collar,divorced,secondary,no,*,no,yes,no
Adult,Blue-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,divorced,secondary,no,*,no,no,no
Adult,White-Collar,married,tertiary,yes,*,no,no,no
Adult,White-Collar,divorced,secondary,no,*,yes,no,no
Adult,Self-Employed,married,tertiary,no,*,no,no,no
Adult,Blue-Collar,single,tertiary,no,*,yes,no,no
Young,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,yes
Adult,White-Collar,divorced,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Not-Working,married,secondary,no,*,no,no,no
Adult,Not-Working,single,primary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,no,no,no
Young,Blue-Collar,married,secondary,no,*,yes,yes,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,Self-Employed,married,tertiary,no,*,no,no,no
Young,White-Collar,single,secondary,no,*,no,no,no
Adult,Blue-Collar,divorced,primary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,yes,no,yes
Adult,White-Collar,married,tertiary,no,*,no,no,no
Senior,Not-Working,married,Unknown,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,single,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Young,White-Collar,single,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,yes,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Young,Blue-Collar,single,primary,no,*,no,no,yes
Adult,White-Collar,married,secondary,no,*,yes,yes,yes
Adult,White-Collar,single,Unknown,no,*,no,no,no
Adult,Blue-Collar,single,primary,no,*,no,no,no
Adult,White-Collar,divorced,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,Blue-Collar,divorced,secondary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,yes,yes,no
Adult,Self-Employed,divorced,secondary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Senior,Not-Working,married,primary,no,*,no,no,yes
Adult,White-Collar,married,primary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,yes,no,yes
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Self-Employed,single,secondary,no,*,yes,no,no
Adult,Not-Working,married,primary,no,*,no,yes,no
Adult,Blue-Collar,single,secondary,no,*,yes,no,no
Adult,Self-Employed,married,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,yes,no
Adult,White-Collar,divorced,secondary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,yes,no,no
Senior,Not-Working,married,primary,no,*,no,no,yes
Adult,Blue-Collar,divorced,primary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,married,Unknown,no,*,yes,no,no
Adult,Unknown,married,Unknown,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,yes,yes,no
Adult,Self-Employed,divorced,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,married,primary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,Blue-Collar,married,Unknown,no,*,no,no,yes
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,divorced,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,yes,yes,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,no,no,yes
Adult,Self-Employed,married,secondary,no,*,no,no,no
Senior,Not-Working,married,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Self-Employed,married,primary,no,*,yes,no,no
Adult,Self-Employed,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Young,Not-Working,single,secondary,no,*,no,no,yes
Adult,Self-Employed,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,primary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,Blue-Collar,single,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,no,yes,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,divorced,secondary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,no,yes,no
Young,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Adult,Blue-Collar,divorced,secondary,no,*,yes,no,no
Young,Blue-Collar,single,tertiary,no,*,no,no,yes
Adult,Blue-Collar,single,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,yes,no
Adult,White-Collar,married,tertiary,no,*,no,yes,yes
Young,Not-Working,single,secondary,no,*,no,no,no
Adult,White-Collar,married,primary,no,*,no,no,yes
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,married,primary,no,*,yes,no,no
Young,Not-Working,single,secondary,no,*,no,no,yes
Young,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,Not-Working,married,secondary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,no,no,no
Senior,Not-Working,married,secondary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,no,yes,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Adult,Blue-Collar,single,secondary,no,*,no,no,no
Adult,Blue-Collar,single,primary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,Self-Employed,married,secondary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,yes
Adult,White-Collar,married,secondary,no,*,yes,yes,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Senior,Not-Working,married,secondary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,no,no,yes
Adult,White-Collar,divorced,secondary,no,*,no,yes,no
Adult,Blue-Collar,married,secondary,no,*,yes,yes,yes
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,divorced,secondary,no,*,yes,no,no
Adult,Blue-Collar,divorced,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,no,no,no
Adult,Self-Employed,married,secondary,no,*,yes,yes,no
Adult,White-Collar,single,secondary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,yes,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Adult,Blue-Collar,single,primary,no,*,yes,no,no
Adult,Blue-Collar,single,secondary,no,*,no,no,no
Senior,Not-Working,married,secondary,no,*,yes,no,yes
Adult,White-Collar,married,primary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,yes,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,single,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,yes
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Self-Employed,divorced,tertiary,no,*,no,no,no
Adult,Blue-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Young,White-Collar,single,secondary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,yes,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Young,White-Collar,single,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Adult,Blue-Collar,divorced,primary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,yes
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Senior,Not-Working,married,secondary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,yes,yes,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Young,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Young,Self-Employed,single,tertiary,no,*,no,no,no
Senior,Not-Working,married,Unknown,no,*,no,no,no
Adult,White-Collar,married,Unknown,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,yes,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,yes
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Not-Working,divorced,primary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,yes
Adult,White-Collar,divorced,tertiary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,Unknown,no,*,no,no,yes
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,Blue-Collar,divorced,primary,no,*,no,no,yes
Adult,White-Collar,single,secondary,no,*,yes,no,yes
Adult,Blue-Collar,single,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,no,no,no
Adult,Not-Working,married,primary,no,*,yes,no,no
Young,White-Collar,single,secondary,no,*,no,no,no
Young,Blue-Collar,single,secondary,no,*,no,yes,no
Adult,Not-Working,single,secondary,no,*,yes,no,no
Young,Blue-Collar,single,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,no,no,yes
Adult,White-Collar,married,secondary,no,*,yes,yes,no
Young,Blue-Collar,single,secondary,no,*,yes,no,yes
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,White-Collar,divorced,secondary,no,*,no,yes,no
Adult,White-Collar,single,tertiary,no,*,yes,no,yes
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,no,no,yes
Adult,Unknown,married,primary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Young,White-Collar,single,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,no,yes,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Young,Blue-Collar,single,secondary,no,*,yes,no,no
Adult,Blue-Collar,single,secondary,no,*,yes,no,no
Adult,Self-Employed,married,tertiary,no,*,yes,no,yes
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,divorced,secondary,no,*,yes,no,yes
Senior,Not-Working,married,secondary,no,*,no,no,yes
Young,Not-Working,single,tertiary,no,*,no,no,yes
Adult,White-Collar,single,secondary,no,*,yes,no,no
Senior,Not-Working,married,primary,no,*,no,no,no
Adult,Blue-Collar,single,primary,no,*,yes,yes,no
Adult,Blue-Collar,married,secondary,yes,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,primary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,Blue-Collar,single,primary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,Not-Working,married,primary,no,*,no,no,no
Adult,Not-Working,single,tertiary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,Self-Employed,married,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,yes
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Senior,Not-Working,married,secondary,no,*,no,no,yes
Young,Blue-Collar,single,secondary,no,*,no,no,no
Adult,Blue-Collar,divorced,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Adult,Not-Working,married,primary,no,*,no,no,no
Young,Blue-Collar,married,secondary,no,*,yes,yes,no
Adult,Blue-Collar,single,primary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Adult,Blue-Collar,single,secondary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,yes,no
Adult,White-Collar,divorced,tertiary,no,*,no,no,no
Adult,Self-Employed,married,secondary,no,*,no,no,yes
Adult,White-Collar,married,secondary,no,*,yes,yes,no
Adult,Self-Employed,married,tertiary,no,*,yes,no,no
Adult,Blue-Collar,divorced,secondary,no,*,yes,no,no
Adult,Blue-Collar,divorced,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,no,no,no
Adult,Self-Employed,married,secondary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,divorced,primary,no,*,no,no,no
Young,White-Collar,single,tertiary,no,*,no,no,yes
Young,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,yes,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,yes,yes
Adult,Blue-Collar,single,primary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,Blue-Collar,single,secondary,no,*,yes,yes,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Senior,Not-Working,married,tertiary,no,*,no,no,yes
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,White-Collar,divorced,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,yes
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,Self-Employed,divorced,secondary,no,*,yes,no,no
Adult,Not-Working,divorced,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,Not-Working,married,primary,no,*,no,no,yes
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,Self-Employed,married,tertiary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,Not-Working,married,tertiary,no,*,yes,no,no
Adult,White-Collar,single,secondary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,yes
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,Not-Working,single,primary,no,*,no,no,no
Young,Blue-Collar,married,secondary,no,*,yes,no,no
Young,Not-Working,single,secondary,no,*,no,no,yes
Young,Blue-Collar,single,secondary,no,*,no,no,no
Adult,Not-Working,single,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,yes
Adult,White-Collar,single,tertiary,no,*,no,no,no
Adult,White-Collar,single,secondary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,Blue-Collar,single,secondary,no,*,yes,yes,no
Young,Self-Employed,single,tertiary,no,*,yes,no,no
Adult,White-Collar,divorced,tertiary,no,*,no,no,yes
Adult,Blue-Collar,divorced,Unknown,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,yes,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Young,Blue-Collar,single,secondary,no,*,no,yes,no
Senior,Not-Working,divorced,secondary,no,*,no,no,no
Adult,Blue-Collar,single,primary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,yes
Adult,White-Collar,single,tertiary,no,*,no,no,yes
Adult,White-Collar,married,tertiary,no,*,no,no,yes
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,yes,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,yes,no
Adult,White-Collar,married,tertiary,no,*,yes,yes,no
Senior,Not-Working,married,secondary,no,*,yes,no,yes
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,married,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,yes
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Adult,Not-Working,single,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Young,White-Collar,married,tertiary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,no,no,yes
Adult,White-Collar,single,tertiary,no,*,no,no,no
Young,Not-Working,single,secondary,no,*,no,no,no
Adult,Not-Working,married,tertiary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,no,no,no
Senior,Not-Working,married,primary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Young,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,divorced,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,single,tertiary,no,*,yes,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,single,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Adult,White-Collar,single,secondary,no,*,no,no,no
Adult,Blue-Collar,married,primary,no,*,no,no,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Senior,Not-Working,married,primary,no,*,no,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,Self-Employed,divorced,secondary,no,*,yes,no,no
Young,White-Collar,single,tertiary,no,*,yes,no,no
Young,White-Collar,married,secondary,no,*,no,no,no
Adult,White-Collar,married,secondary,no,*,yes,no,no
Adult,Blue-Collar,divorced,primary,no,*,no,no,no
Adult,Blue-Collar,divorced,primary,no,*,no,no,no
Adult,White-Collar,single,tertiary,no,*,no,yes,no
Adult,Self-Employed,single,secondary,no,*,yes,no,no
Adult,White-Collar,married,secondary,no,*,no,yes,no
Adult,Blue-Collar,married,secondary,no,*,no,yes,no
Adult,Blue-Collar,married,secondary,no,*,yes,no,no
Adult,White-Collar,married,tertiary,no,*,yes,yes,no
Adult,White-Collar,married,tertiary,no,*,yes,no,no
Adult,White-Collar,single,secondary,no,*,no,no,no
Young,White-Collar,married,secondary,no,*,yes,no,yes
Adult,White-Collar,divorced,secondary,no,*,yes,no,no
Adult,Blue-Collar,married,primary,no,*,no,yes,no
Adult,White-Collar,married,Unknown,no,*,no,no,no
Adult,Blue-Collar,married,primary,no,*,yes,no,no
